estimate,se,geoid,layer,topic
14.927776426060555,2.1481398948523545,1705404,place,sidewalk
51.47874907153936,7.878157357576298,1705573,place,sidewalk
31.8232054873936,10.957973285755429,1706704,place,sidewalk
63.5930280549564,9.659858691364557,1708225,place,sidewalk
39.394466948998094,3.9924232136838795,1708446,place,sidewalk
57.96564675537119,11.167494616867787,1708576,place,sidewalk
78.4767164651137,7.340529000618841,1709447,place,sidewalk
66.3857832512824,5.9346328778339394,1709642,place,sidewalk
19.125941226560364,2.0864205398187163,1709980,place,sidewalk
62.300304269762194,9.81969621171291,1710487,place,sidewalk
51.01299884035154,9.364979578265437,1710513,place,sidewalk
21.916908614321684,8.153764003565371,1714026,place,sidewalk
69.03804022585247,9.708104069165765,1714065,place,sidewalk
51.705891978204455,8.262262621699405,1714351,place,sidewalk
57.97458390700187,10.428831870682561,1716691,place,sidewalk
27.58743173867172,3.0094719804157277,1716873,place,sidewalk
62.71341367792197,11.462447972696305,1717497,place,sidewalk
65.45440451151859,6.733933932393174,1719642,place,sidewalk
8.55929761607722,2.272480390737063,1720149,place,sidewalk
43.5943929110568,14.965723746291964,1720292,place,sidewalk
2.3480995819521047,0.907210684914001,1721904,place,sidewalk
59.83004587405375,7.019850839044182,1723074,place,sidewalk
86.9351423582131,5.2050702764702566,1723256,place,sidewalk
77.85872726808827,10.335448589435714,1723724,place,sidewalk
69.61676473790018,4.491931616350754,1724582,place,sidewalk
57.47165927476362,10.04690811869551,1724634,place,sidewalk
75.09570311024409,7.487248826816135,1726571,place,sidewalk
5.6820422852094,1.2077710792357939,1726710,place,sidewalk
53.42358219677751,14.583637447801497,1726935,place,sidewalk
1.820968222338772,0.16278753300050486,1726987,place,sidewalk
65.84502771632347,9.352132447704887,1727702,place,sidewalk
44.01000243548203,2.4733531648254066,1729652,place,sidewalk
78.16197074971475,5.914752328334896,1729938,place,sidewalk
13.348229034260962,5.067700858006624,1730029,place,sidewalk
2.6088224681919034,0.14661529086778383,1730328,place,sidewalk
49.16569631932491,11.027345459618575,1732746,place,sidewalk
33.75845598694149,13.937414860379198,1733383,place,sidewalk
25.862276898088787,3.076250308652612,1733435,place,sidewalk
52.36168032264128,10.574190893049074,1733695,place,sidewalk
68.14957240710659,9.79834870017012,1734514,place,sidewalk
23.001067933525267,3.309904318097696,1735086,place,sidewalk
8.700365714774476,0.9491099818936654,1735307,place,sidewalk
3.9757233133700622,0.7375517978909473,1735385,place,sidewalk
64.156744300782,5.297906911201643,1735411,place,sidewalk
13.217348069896328,2.3105907034317488,1735866,place,sidewalk
56.02947201523312,12.556059249857046,1735879,place,sidewalk
18.112048699701347,1.9758165089818096,1737257,place,sidewalk
34.77325205340422,5.496374473005435,1737608,place,sidewalk
50.82431019020349,9.74422889634081,1738830,place,sidewalk
12.024173769618534,0.6757561145581633,1739519,place,sidewalk
72.09310859875295,8.488956353426843,1740767,place,sidewalk
67.03253793258932,10.287549784660456,1740793,place,sidewalk
36.59639367638764,10.036053837673075,1742028,place,sidewalk
82.28047946834961,6.483184640128231,1742795,place,sidewalk
70.18837862793038,8.675790067517617,1743744,place,sidewalk
31.231579078810476,6.638563403239941,1745421,place,sidewalk
28.429603609001763,5.274085644901736,1745434,place,sidewalk
1.2045941799094375,0.12207932076261403,1745564,place,sidewalk
37.765614237197056,10.091499507379988,1747007,place,sidewalk
68.54937616310586,10.276913633283959,1747540,place,sidewalk
33.79090543077455,11.37443515122363,1747774,place,sidewalk
62.01730399898583,8.096459053726997,1748242,place,sidewalk
14.685143601481252,2.6959024769777593,1748554,place,sidewalk
44.43178519495928,13.375090108129928,1748892,place,sidewalk
77.2536676326899,11.076357224192254,1750647,place,sidewalk
76.71977162331113,6.397849919683047,1751089,place,sidewalk
71.16274223557022,7.605623820507961,1753000,place,sidewalk
