fac_name,site_name,fac_street,fac_city,fac_state,fac_zip,naics_code,latitude,longitude,pollutant_code,pollutant_desc,pollutant_type,emissions_uom,emissions
CITY OF SANTA BARBARA,CITY OF SANTA BARBARA - ALAN RD LS,1 ALAN ROAD,SANTA BARBARA,CA,93109,921190,34.405121,-119.74052,SO2,Sulfur Dioxide,CAP,TON,2.7e-5
CITY OF SANTA BARBARA - DOWNTOWN PARKING,CITY OF SANTA BARBARA - GRANADA GARAGE,1221 ANACAPA STREET,SANTA BARBARA,CA,93101,921190,34.424546,-119.704154,SO2,Sulfur Dioxide,CAP,TON,1.37e-4
CITY OF SANTA BARBARA,CITY OF SANTA BARBARA - LINDA RD LS,312 LINDA ROAD,SANTA BARBARA,CA,93109,921190,34.401825,-119.735339,SO2,Sulfur Dioxide,CAP,TON,6e-6
CITY OF STOCKTON,CITY OF STOCKTON,SINCLAIR AVE  DUCK CREEK,STOCKTON,CA,95215,921190,37.899516,-121.147196,SO2,Sulfur Dioxide,CAP,TON,1.953e-5
CITY OF TULARE,CITY OF TULARE,VARIOUS LOCATIONS THROUGHOUT THE CITY OF TULARE,TULARE,CA,93274,921190,36.206496,-119.343046,SO2,Sulfur Dioxide,CAP,TON,2.809e-5
CITY OF TULARE,CITY OF TULARE,411 E KERN AVE,TULARE,CA,93274,921190,36.207038,-119.342905,SO2,Sulfur Dioxide,CAP,TON,1.092e-4
CITY OF TURLOCK,CITY OF TURLOCK,512 S KILROY RD,TURLOCK,CA,95380,921190,37.489362,-120.876211,SO2,Sulfur Dioxide,CAP,TON,5.81e-6
CITY OF TURLOCK,CITY OF TURLOCK,401 THIRD ST,TURLOCK,CA,95380,921190,37.489477,-120.845029,SO2,Sulfur Dioxide,CAP,TON,5.81e-6
CITY OF TURLOCK (CNG BUS REPAIR BLDG),CITY OF TURLOCK (CNG BUS REPAIR BLDG),701 WALNUT,TURLOCK,CA,95380,921190,37.485544,-120.867375,SO2,Sulfur Dioxide,CAP,TON,1.48e-6
CITY OF WASCO,CITY OF WASCO,S E CORNER OF IRIS & GRIFFITH,WASCO,CA,93280,921190,35.612381,-119.375811,SO2,Sulfur Dioxide,CAP,TON,1.063e-5
CITY OF WASCO,CITY OF WASCO,PARKWAY & HWY 46,WASCO,CA,93280,921190,35.601626,-119.393704,SO2,Sulfur Dioxide,CAP,TON,1.62e-5
CITY OF WASCO,CITY OF WASCO,CORNER OF MARGALO ST & CENTRAL AVE,WASCO,CA,93280,921190,35.605352,-119.357826,SO2,Sulfur Dioxide,CAP,TON,6.31e-6
CITY OF WASCO,CITY OF WASCO,N SIDE POSO AVE BETWEEN PALM & BECKES,WASCO,CA,93280,921190,35.612381,-119.375811,SO2,Sulfur Dioxide,CAP,TON,1.483e-5
ALAMEDA COUNTY GSA,ALAMEDA COUNTY GSA,2892 FAIRMONT DRIVE,SAN LEANDRO,CA,94577,921190,37.72343,-122.120015,SO2,Sulfur Dioxide,CAP,TON,9.289e-6
ALAMEDA COUNTY GSA,ALAMEDA COUNTY GSA,1106 MADISON STREET,OAKLAND,CA,94612,921190,37.797973,-122.265649,SO2,Sulfur Dioxide,CAP,TON,1.0882e-5
COUNTY OF FRESNO,COUNTY OF FRESNO,1265 M ST,FRESNO,CA,93721,921190,36.738655,-119.790122,SO2,Sulfur Dioxide,CAP,TON,9.66e-5
"COUNTY OF MARIN, MERA","COUNTY OF MARIN, MERA",1002 ROBERT DOLLR HLL,SAN RAFAEL,CA,94901,921190,37.98089,-122.529733,SO2,Sulfur Dioxide,CAP,TON,6.37915e-4
"COUNTY OF MARIN, MERA, FORBES HILL","COUNTY OF MARIN, MERA, FORBES HILL","END OF HEPBURN, HTS DR",SAN RAFAEL,CA,94901,921190,37.975558,-122.546846,SO2,Sulfur Dioxide,CAP,TON,1.19966e-4
"COUNTY OF MARIN,MERA,SAN PEDRO","COUNTY OF MARIN,MERA,SAN PEDRO",2099 BAYHILLS DRIVE,SAN RAFAEL,CA,94903,921190,38.010566,-122.511306,SO2,Sulfur Dioxide,CAP,TON,0.00104195
COUNTY OF SAN MATEO,COUNTY OF SAN MATEO,BAY RD & END OF SPRING ST,REDWOOD CITY,CA,94063,921190,37.477989,-122.189181,SO2,Sulfur Dioxide,CAP,TON,6.059e-6
COUNTY OF SAN MATEO,COUNTY OF SAN MATEO,5TH AVE & WILLIAMS AVE,REDWOOD CITY,CA,94063,921190,37.471002,-122.205167,SO2,Sulfur Dioxide,CAP,TON,4.252e-6
COUNTY OF SANTA CLARA - FAF,COUNTY OF SANTA CLARA - FAF,976 LENZEN AVENUE,SAN JOSE,CA,95131,921190,37.334412,-121.911875,SO2,Sulfur Dioxide,CAP,TON,5.44e-7
"JUDICIAL COUNCIL OF CALIFORNIA, JCC 43-A1","JUDICIAL COUNCIL OF CALIFORNIA, JCC 43-A1",190 W HEDDING STREET,SAN JOSE,CA,95110,921190,37.350494,-121.909125,SO2,Sulfur Dioxide,CAP,TON,1.3059e-5
JUDICIAL COUNCIL OF CALIFORNIA  JCC 48-A3,JUDICIAL COUNCIL OF CALIFORNIA  JCC 48-A3,580 TEXAS STREET,FAIRFIELD,CA,94533,922110,38.249236,-122.040172,SO2,Sulfur Dioxide,CAP,TON,2.2827e-5
LATON COMMUNITY SERVICES DISTRICT,LATON COMMUNITY SERVICES DISTRICT,6603 LATONIA ST,LATON,CA,93242,921190,36.434092,-119.68032,SO2,Sulfur Dioxide,CAP,TON,8.74e-6
BAKMAN WATER COMPANY,BAKMAN WATER COMPANY,41016 AVENUE 11,MADERA,CA,93637,921190,36.908871,-119.801739,SO2,Sulfur Dioxide,CAP,TON,2.724e-5
MERCED COUNTY,MERCED CO DEPT OF PW/BUILDING SERVICES,2150 SHUTTLE DR,ATWATER,CA,95301,921190,37.359798,-120.568118,SO2,Sulfur Dioxide,CAP,TON,1.06e-6
MODESTO IRRIGATION DISTRICT,MODESTO IRRIGATION DISTRICT,2330 ELM AVE,MODESTO,CA,95358,921190,37.643046,-121.040324,SO2,Sulfur Dioxide,CAP,TON,5.04e-6
"JUDICIAL COUNCIL OF CALIFORNIA, CC 43-B2","JUDICIAL COUNCIL OF CALIFORNIA, CC 43-B2",N 1ST STREET,SAN JOSE,CA,95113,921190,37.33854,-121.892444,SO2,Sulfur Dioxide,CAP,TON,9.85047e-4
PLACER COUNTY FACILITY SERVICE,PLACER COUNTY - EASTERN REGION,900 CABIN CREEK ROAD,TRUCKEE,CA,96161,562212,39.29132,-120.21405,SO2,Sulfur Dioxide,CAP,TON,0.0399875
"JUDICIAL COUNCIL OF CALIFORNIA, JCC 43-D1","JUDICIAL COUNCIL OF CALIFORNIA, JCC 43-D1",270 GRANT AVENUE,PALO ALTO,CA,94306,921190,37.426576,-122.141951,SO2,Sulfur Dioxide,CAP,TON,4.668e-6
CITY OF BAKERSFIELD FIRE DEPARTMENT,CITY OF BAKERSFIELD,5815 MOUNTAIN VISTA DR,BAKERSFIELD,CA,93311,921190,35.302556,-119.118545,SO2,Sulfur Dioxide,CAP,TON,4.5e-5
CITY OF BAKERSFIELD FIRE DEPARTMENT,CITY OF BAKERSFIELD FIRE DEPARTMENT,130 BERNARD ST,BAKERSFIELD,CA,93305,921190,35.390351,-118.999814,SO2,Sulfur Dioxide,CAP,TON,1.06e-5
CITY OF CHOWCHILLA,CITY OF CHOWCHILLA,122 W TRINITY AVE,CHOWCHILLA,CA,93610,921190,37.122653,-120.258591,SO2,Sulfur Dioxide,CAP,TON,7.72e-6
"CITY OF CHOWCHILLA, A MUNICIPAL CORP","CITY OF CHOWCHILLA, A MUNICIPAL CORP",15750 AVENUE 24 1/2,CHOWCHILLA,CA,93210,921190,37.10538,-120.259862,SO2,Sulfur Dioxide,CAP,TON,5.165e-5
CITY OF CLOVIS,CITY OF CLOVIS,8400 E ASHLAN AVE,CLOVIS,CA,93612,921190,36.794069,-119.64021,SO2,Sulfur Dioxide,CAP,TON,3.191e-5
CITY OF CLOVIS,CITY OF CLOVIS,744 N SUNNYSIDE,CLOVIS,CA,93611,921190,36.821501,-119.690997,SO2,Sulfur Dioxide,CAP,TON,6.48e-7
CITY OF CORCORAN,CITY OF CORCORAN,832 WHITLEY,CORCORAN,CA,93212,921190,36.098163,-119.557686,SO2,Sulfur Dioxide,CAP,TON,1.42e-5
CITY OF EXETER,CITY OF EXETER,S BELMONT RD & GLAZE AVE,EXETER,CA,93221,921190,36.282646,-119.154071,SO2,Sulfur Dioxide,CAP,TON,6.13e-6
CITY OF FIREBAUGH,CITY OF FIREBAUGH,VASQUEZ DR & RIVER LN,FIREBAUGH,CA,93622,921190,36.854981,-120.443701,SO2,Sulfur Dioxide,CAP,TON,3.3e-6
CITY OF FIREBAUGH,CITY OF FIREBAUGH,0.5 MILES NORTHWEST OF AVE 7 1/2,FIREBAUGH,CA,93622,921190,36.856515,-120.444085,SO2,Sulfur Dioxide,CAP,TON,8.61e-6
CITY OF FREMONT,CITY OF FREMONT,37299 NILES BLVD,FREMONT,CA,94536,921190,37.575202,-121.980494,SO2,Sulfur Dioxide,CAP,TON,2.22e-5
CITY OF GOLETA,CITY OF GOLETA - HOLLISTER AVENUE,6735 HOLLISTER AVENUE,GOLETA,CA,93117,921190,34.427987,-119.863128,SO2,Sulfur Dioxide,CAP,TON,6e-6
CITY OF HANFORD - WATER UTILITIES,CITY OF HANFORD - WATER UTILITIES,1200 W FARGO AVE,HANFORD,CA,93230,921190,36.357261,-119.659536,SO2,Sulfur Dioxide,CAP,TON,2.36e-6
CITY OF HUGHSON,CITY OF HUGHSON,1537 EUCLID RD,HUGHSON,CA,95326,921190,37.60767,-120.851855,SO2,Sulfur Dioxide,CAP,TON,1.26e-5
CITY OF KINGSBURG,CITY OF KINGSBURG,"21ST AVE, ERLING FLOOD BASIN",KINGSBURG,CA,93631,921190,36.523046,-119.543816,SO2,Sulfur Dioxide,CAP,TON,5.72e-6
CITY OF KINGSBURG,CITY OF KINGSBURG,SE CORNER OF MEHLERT AND 6TH ST,KINGSBURG,CA,93631,921190,36.506886,-119.561502,SO2,Sulfur Dioxide,CAP,TON,4.86e-6
CITY OF LAFAYETTE - PUBLIC LIBRARY,CITY OF LAFAYETTE - PUBLIC LIBRARY,3491 MT DIABLO BLVD,LAFAYETTE,CA,94549,921190,37.891867,-122.115823,SO2,Sulfur Dioxide,CAP,TON,3.482e-6
CITY OF LATHROP,CITY OF LATHROP,VARIOUS LOCATIONS - TRANSPORTABLE,LATHROP,CA,95330,921190,37.80428,-121.303851,SO2,Sulfur Dioxide,CAP,TON,2.56e-6
CITY OF LATHROP/PUBLIC WORKS,"CITY OF LATHROP, WRP #1",18800 CHRISTOPHER WAY,LATHROP,CA,95330,921190,37.794799,-121.291009,SO2,Sulfur Dioxide,CAP,TON,1.2348e-4
CITY OF LOS BANOS,CITY OF LOS BANOS,BADGER FLAT STORM POND,LOS BANOS,CA,93635,921190,37.064562,-120.875098,SO2,Sulfur Dioxide,CAP,TON,5.41e-6
"CITY OF MANTECA, PUBLIC WORKS DEPT","CITY OF MANTECA, PUBLIC WORKS DEPT",985 W LATHROP RD,MANTECA,CA,95337,921190,37.826591,-121.23203,SO2,Sulfur Dioxide,CAP,TON,5.22e-6
CITY OF MERCED,CITY OF MERCED,OLIVE AVE & EL CAPITAN AVE,MERCED,CA,95340,921190,37.318503,-120.465364,SO2,Sulfur Dioxide,CAP,TON,7.73e-6
CITY OF MERCED PUBLIC WORKS,"CITY OF MERCED, PUBLIC WORKS",NORTH BEAR CREEK & HWY 59,MERCED,CA,95348,921190,37.310039,-120.505082,SO2,Sulfur Dioxide,CAP,TON,9.37e-6
CITY OF MODESTO,"CITY OF MODESTO, PUBLIC WORKS DEPT. WWCD",E/S MORTON BLVD  RUE DE YOE,MODESTO,CA,95350,921190,37.644676,-120.984525,SO2,Sulfur Dioxide,CAP,TON,2.753e-6
CITY OF OAKDALE,CITY OF OAKDALE,9800 LIBERINI RD,OAKDALE,CA,95361,921190,37.776347,-120.867137,SO2,Sulfur Dioxide,CAP,TON,6.83e-6
CITY OF PALMDALE,"PALMDALE, CITY OF - PELONA VISTA PARK",455 W AVE R-8,PALMDALE,CA,93551,921190,34.696636,-118.146419,SO2,Sulfur Dioxide,CAP,TON,4.4096e-5
CITY OF PALMDALE,"PALMDALE, CITY OF - RECREATION CTR",2723-A RANCHO VISTA BLVD,PALMDALE,CA,93550,921190,34.696636,-118.146419,SO2,Sulfur Dioxide,CAP,TON,2.207e-4
CITY OF PARLIER,CITY OF PARLIER,13449 INDUSTRIAL DR,PARLIER,CA,93648,921190,36.599487,-119.549028,SO2,Sulfur Dioxide,CAP,TON,4.14e-5
CITY OF PATTERSON,CITY OF PATTERSON,349 POPPY AVE,PATTERSON,CA,95363,921190,37.471091,-121.151516,SO2,Sulfur Dioxide,CAP,TON,2.16e-5
CITY OF PATTERSON,CITY OF PATTERSON,SE CORNER H ST & N 5TH ST,PATTERSON,CA,95363,921190,37.471091,-121.151516,SO2,Sulfur Dioxide,CAP,TON,2.02e-5
CITY OF PATTERSON,CITY OF PATTERSON,SW CORNER OF E LAS PALMAS,PATTERSON,CA,95363,921190,37.472661,-121.129356,SO2,Sulfur Dioxide,CAP,TON,4.71e-5
RIVERBANK LOCAL REDEVELOPMENT AUTHORITY,RIVERBANK LOCAL REDEVELOPMENT AUTHORITY,5300 CLAUS RD,RIVERBANK,CA,95367,921190,37.719051,-120.921916,SO2,Sulfur Dioxide,CAP,TON,5.882e-5
SAN JOAQUIN COUNTY,SAN JOAQUIN COUNTY,7850 R A BRIDGEFORD ST,STOCKTON,CA,95206,921190,37.891231,-121.241981,SO2,Sulfur Dioxide,CAP,TON,2.39e-6
SANTA NELLA COUNTY WATER DISTRICT,SANTA NELLA COUNTY WATER DISTRICT,12931 STATE HIGHWAY 33,SANTA NELLA,CA,95322,921190,37.102414,-121.015996,SO2,Sulfur Dioxide,CAP,TON,9.05e-6
SANTA NELLA COUNTY WATER DISTRICT,SANTA NELLA COUNTY WATER DISTRICT,12931 STATE HIGHWAY 33,SANTA NELLA,CA,95322,921190,37.071379,-121.016069,SO2,Sulfur Dioxide,CAP,TON,4.002e-6
STANISLAUS COUNTY,STANISLAUS COUNTY,10TH ST & LUCINDA AVE,KEYES,CA,95328,921190,37.558545,-120.910997,SO2,Sulfur Dioxide,CAP,TON,6.66e-6
JUDICIAL COUNCIL OF CALIFORNIA,"STATE OF CA, JUDICIAL COUNCIL OF CA, ADM",1130 O ST,FRESNO,CA,93721,921190,36.738941,-119.786406,SO2,Sulfur Dioxide,CAP,TON,2.105e-5
TOWN OF LOS GATOS,TOWN OF LOS GATOS,110 E MAIN STREET,LOS GATOS,CA,95030,921190,37.221353,-121.979517,SO2,Sulfur Dioxide,CAP,TON,1.40163e-4
CITY OF FREMONT,CITY OF FREMONT,4355 CENTRAL AVENUE,FREMONT,CA,94536,922160,37.552248,-122.008271,SO2,Sulfur Dioxide,CAP,TON,2.3353e-5
CITY OF FRESNO FIRE DEPARTMENT,CITY OF FRESNO FIRE DEPARTMENT,3187 W BELMONT AVE,FRESNO,CA,93722,922160,36.749528,-119.849207,SO2,Sulfur Dioxide,CAP,TON,3.68e-5
CITY OF SAN JOSE FIRE DEPARTMENT STATION #12,CITY OF SAN JOSE FIRE DEPARTMENT STATION #12,5912 CAHALAN AVENUE,SAN JOSE,CA,95118,922160,37.242934,-121.848984,SO2,Sulfur Dioxide,CAP,TON,1.6193e-5
