totalpop,agedep,drovealone,walked,fromhome,lfblack,geoid_tract
5694,59.7,83.4,2.9,9.1,76.1,42077006500
5744,52.7,85.2,0,5.4,82.4,42077006600
4972,51.2,90.2,0,2.3,50.7,42077006701
2822,82.3,87.6,2.1,4.3,0,42077006702
6145,87.3,88.8,1,5.8,63,42077006703
4693,68.3,82,2.6,3.9,69.8,42077006800
2306,65.3,85.9,2.4,5.4,77.8,42077006902
7207,50.9,79.5,1.6,11.9,91.3,42077006903
5654,64,81.6,0,8.6,59,42077006905
4168,60.9,81.6,0,12.3,43.3,42077006906
3989,73.2,79.7,1.7,13.8,100,42077007000
3588,100.8,86.1,2.4,3.9,74.2,42077009100
3819,52.6,85,1.4,7.3,68.8,42077009200
3223,67.7,86.2,0.9,5.2,7.7,42077009300
4205,57.3,74.2,0.4,11.5,50.7,42077009400
5046,50.3,73.2,0.7,3.9,87.4,42077009500
2526,123.7,74.8,0,3.2,40.8,42077009601
4872,47.5,61.1,2.6,2.9,82.9,42077009602
3397,53.3,59,20.8,6.3,65.5,42077009700
3117,27.8,41.1,23.5,25.3,45,42079200100
3207,53.4,71.3,16.8,1,60.4,42079200200
1418,60.6,83,5.7,3.5,26.3,42079200300
3900,38.9,27.6,2.7,7.8,59.8,42101008000
3258,50.8,34.5,3.4,4.6,63.3,42101008101
4786,65,58.7,1.6,5.4,59.6,42101008102
6202,91.9,50.8,0,0.5,61.2,42101008200
4751,73.6,60,3.4,0.1,47.7,42101008301
4586,54.6,30.9,5.3,1.5,49.3,42101008302
4864,68.1,42.9,7.1,13.2,61.3,42101008400
6272,37.8,44,5,8,61.2,42101008500
3355,38.6,17.5,13.9,18.5,54.7,42101008601
3126,42.7,18.8,7.9,9,62.6,42101008602
3318,21.7,29.5,32.1,5.5,100,42101008701
2601,13,11.7,43.9,17.3,81.2,42101008702
2073,1.1,6,67.6,8.5,49.6,42101008801
5956,7.4,7.9,62.7,7.2,48.1,42101008802
6405,8.1,18.7,42.8,9.6,38,42101009000
2722,26.9,27.2,18.3,14,56.4,42101009100
3640,45,16.9,14.3,7.4,59,42101009200
4890,56.8,39.1,1.5,12.2,54.3,42101009300
3926,81.1,43.3,13.5,6.6,59,42101009400
2996,60.4,9.5,19.7,0,53.9,42101009500
4118,50.5,49.4,2.4,0.4,55,42101009600
2372,43.8,62.7,2.3,3.4,69.2,42101009801
5660,55.4,57.2,1.8,3.5,61.9,42101009802
4972,44.8,44.2,0.8,0.7,74.5,42101010000
6332,70.9,42.9,0,3.4,54.3,42101010100
3404,80.2,50.2,1,1.6,47.8,42101010200
2698,65.4,35,9.8,1,65.2,42101010300
3905,97,30.3,2.4,18.1,49,42101010400
4445,87,62.1,2.3,5.6,44,42101010500
1668,74.1,32.7,1.9,17.7,50.2,42101010600
3821,80.3,41.2,3.7,5.5,56.8,42101010700
4178,68.2,38.4,4.4,9.3,49.2,42101010800
2749,68.7,39.3,11.9,7.9,60.7,42101010900
3346,104.1,46.3,7.6,2.8,42.9,42101011000
3791,53.6,46.5,2.5,7.6,46.3,42101011100
5949,93.5,52.6,0,3,42.4,42101011200
3387,74.9,57.4,5.1,0.3,57.4,42101011300
6907,63.4,44.1,5.7,2.9,58.6,42101011400
4358,60.6,63.7,1.3,3.3,73.6,42101011500
1956,18.3,53.6,15.4,16.1,50.2,42101011700
5565,56.6,59.6,0.7,5,40.8,42101011800
5213,63.6,55.1,6.2,1.5,57.9,42101011900
2132,25.3,46.8,11.8,5.9,58,42101012000
4376,67.5,79.9,4.9,8.1,15.4,42131400300
4200,66,76.7,0.6,7,87.7,42131400400
4182,65.2,86.3,0.6,4.9,4.5,42131400500
3195,72.1,82.3,3.1,4.9,35.9,42131400600
3901,70.6,79.9,0.5,7.5,25,42131400700
1205,34.5,58.8,13.6,0.8,52.9,42133000100
